"Reference","Qty","Value","Footprint","Datasheet","Manufacturer","Manufacturer Part Number","Distributor Link"
"J1","1","68710614522","foots:68710614522","","Wurth Elektronik","68710614522","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/68710614522?qs=ZtY9WdtwX56jW0fVCAMn0A%3D%3D"
"J2","1","687108149022","foots:687108149022","http://katalog.we-online.de/em/datasheet/6871xx149022.pdf","Wurth Elektronik","687108149022","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/687108149022?qs=a9WhcLg8qCwCfT8TEgjjUA%3D%3D"
